doi,title_cleaned,journal_name_cleaned,features_union_titre_journal,bso_classification
10.1109/ICMIC.2015.7409360,identification volterra parafac model using partial update lm algorithm,international conference modelling identification control icmic,identification volterra parafac model using partial update lm algorithm international conference modelling identification control icmic,Computer and information sciences
10.1109/TIT.2016.2544344,reduction fixed point boolean network linear network coding solvability,ieee transaction information theory,reduction fixed point boolean network linear network coding solvability ieee transaction information theory,Computer and information sciences
10.1109/LED.2016.2542921,first power performance demonstration flexible algan gan high electron mobility transistor,ieee electron device letter,first power performance demonstration flexible algan gan high electron mobility transistor ieee electron device letter,Engineering
10.1109/LAWP.2015.2505669,reconfigurable antenna future spectrum reallocation communication,ieee antenna wireless propagation letter,reconfigurable antenna future spectrum reallocation communication ieee antenna wireless propagation letter,Computer and information sciences
10.1109/ICITST.2015.7412052,novel chaotic generator based weakly coupled discrete skewtent map,international conference internet technology secured transaction icitst,novel chaotic generator based weakly coupled discrete skewtent map international conference internet technology secured transaction icitst,Computer and information sciences
10.23919/oceans.2015.7401934,tuning interpolation method environmental uni dimensional transect survey,ocean mt ieee washington,tuning interpolation method environmental uni dimensional transect survey ocean mt ieee washington,"Earth, Ecology, Energy and applied biology"
10.1109/ReConFig.2015.7393336,power measurement analysis dynamic circuit specialization,international conference reconfigurable computing fpgas reconfig,power measurement analysis dynamic circuit specialization international conference reconfigurable computing fpgas reconfig,Engineering
10.7567/JJAP.55.05FG06,investigation alyga quantum dot property design ultraviolet emitter,japanese journal applied physic,investigation alyga quantum dot property design ultraviolet emitter japanese journal applied physic,"Physical sciences, Astronomy"
10.1109/ICIICII.2015.140,better bound bayesian multiple test quadratic loss function,international conference industrial informatics computing technology intelligent technology industrial information integration,better bound bayesian multiple test quadratic loss function international conference industrial informatics computing technology intelligent technology industrial information integration,Computer and information sciences
10.1364/OPTICA.3.000362,fully guided wave squeezing experiment fiber quantum network,optica,fully guided wave squeezing experiment fiber quantum network optica,"Physical sciences, Astronomy"
10.1172/JCI82337,matricellular protein ccn mitigates abdominal aortic aneurysm,journal clinical investigation,matricellular protein ccn mitigates abdominal aortic aneurysm journal clinical investigation,Medical research
10.1109/JLT.2016.2524583,crystallographic optical property cut high index soft proton exchange hisope linbowaveguides,journal lightwave technology,crystallographic optical property cut high index soft proton exchange hisope linbowaveguides journal lightwave technology,"Physical sciences, Astronomy"
10.1017/S0308210515000591,partial theta function spectrum,proceeding royal society edinburgh section mathematics,partial theta function spectrum proceeding royal society edinburgh section mathematics,Mathematics
10.1109/LAWP.2015.2465842,ghz dual polarized microstrip mesh array antenna ltcc technology,ieee antenna wireless propagation letter,ghz dual polarized microstrip mesh array antenna ltcc technology ieee antenna wireless propagation letter,Computer and information sciences
10.1103/PhysRevA.93.043826,temporal intensity correlation light scattered hot atomic vapor,physical review,temporal intensity correlation light scattered hot atomic vapor physical review,"Physical sciences, Astronomy"
10.1093/mnras/stv2844,survival impactor hypervelocity collision analogue low porosity target,monthly notice royal astronomical society,survival impactor hypervelocity collision analogue low porosity target monthly notice royal astronomical society,"Physical sciences, Astronomy"
10.1097/JOM.0000000000000679,big five personality trait french firefighter burnout,journal occupational environmental medicine,big five personality trait french firefighter burnout journal occupational environmental medicine,Biology (fond.)
10.1103/PhysRevE.93.042207,trapping scaling bifurcation vlasov system,physical review,trapping scaling bifurcation vlasov system physical review,"Physical sciences, Astronomy"
10.1249/MSS.0000000000000981,effect footwear fatigue running economy biomechanics trail runner,medicine science sport exercise,effect footwear fatigue running economy biomechanics trail runner medicine science sport exercise,Biology (fond.)
10.1109/ICSOS.2015.7425073,telecom scintillation first data analysis domino laser communication sota onboard socrates satellite meo ogs,ieee international conference space optical system application icsos,telecom scintillation first data analysis domino laser communication sota onboard socrates satellite meo ogs ieee international conference space optical system application icsos,Computer and information sciences
10.1103/PhysRevE.93.050201,light matter interaction induces shadow vortex,physical review,light matter interaction induces shadow vortex physical review,"Physical sciences, Astronomy"
10.7567/JJAP.55.05FG10,auger effect yellow light emitter based ingan algan gan quantum well,japanese journal applied physic,auger effect yellow light emitter based ingan algan gan quantum well japanese journal applied physic,"Physical sciences, Astronomy"
